title,file_name,file_link
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/10/PADG/2022 DATED 4 JULY 2022 ON IMPLEMENTING REGULATION ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,Regulation Of Member Of Board Of Governors Number 24/10/PADG/2022,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG-241022.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/10/PADG/2022 DATED 4 JULY 2022 ON IMPLEMENTING REGULATION ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,Attachment Regulation Of Member Of Board Of Governors Number 24/10/PADG/2022,https://www.bi.go.id/en/publikasi/peraturan/Documents/Annex_PADG_241022.zip
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/2/PADG/2022 ON TRANSACTIONS OF SECURITIES UNDER CROSS CURRENCY REPURCHASE AGREEMENT IN RUPIAH AGAINST RINGGIT BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,Regulation of Member of Board of Governors Number 24/2/PADG/2022.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_240222.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/2/PADG/2022 ON TRANSACTIONS OF SECURITIES UNDER CROSS CURRENCY REPURCHASE AGREEMENT IN RUPIAH AGAINST RINGGIT BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,Attachment Regulation of Member of Board of Governors Number 24/2/PADG/2022.zip,https://www.bi.go.id/en/publikasi/peraturan/Documents/Attachment_PADG_240222.zip
BANK INDONESIA REGULATION NUMBER 23/18/PBI/2021 ON MONETARY CONTROL,Bank Indonesia Regulation Number 23/18/PBI/2021.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_231821.pdf
BANK INDONESIA REGULATION NOMOR 23/7/PBI/2021 ON PAYMENT SYSTEM INFRASTRUCTURE PROVIDERS,Bank Indonesia Regulation No. 23/7/PBI/2021.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_230721_en.pdf
BANK INDONESIA REGULATION NUMBER 23/6/PBI/2021 ON PAYMENT SERVICE PROVIDERS,Bank Indonesia Regulation Number 23/6/PBI/2021.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_230621_EN.pdf
BANK INDONESIA REGULATION NUMBER 23/5/PBI/2021 ON MONITORING SYSTEM FOR TRANSACTIONS ON FOREIGN CURRENCIES AGAINST RUPIAH,Bank Indonesia Regulation Number 23/5/PBI/2021,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_230521.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 23/4/PADG/2021 ON AMENDMENT TO REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Regulation Of Member Of Board Of Governors Number 23/4/PADG/2021,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_230421.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 23/4/PADG/2021 ON AMENDMENT TO REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Attachment Regulation Of Member Of Board Of Governors Number 23/4/Padg/2021,https://www.bi.go.id/en/publikasi/peraturan/Documents/Attachment_PADG_230421.zip
BANK INDONESIA REGULATION NUMBER 23/4/PBI/2021 ON THE FOURTH AMENDMENT TO BANK INDONESIA REGULATION NUMBER 15/17/PBI/2013 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Bank Indonesia Regulation Number 23/4/PBI/2021,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_230421.pdf
BANK INDONESIA REGULATION NUMBER 22/23/PBI/2020 ON PAYMENT SYSTEM,Bank Indonesia Regulation Number 22/23/PBI/2020,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_222320.pdf
BANK INDONESIA REGULATION NUMBER 22/14/PBI/2020 ON MONETARY OPERATION,Bank Indonesia Regulation Number 22/14/2020.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_221420-EN.pdf
BANK INDONESIA REGULATION NUMBER 22/14/PBI/2022 ON MONETARY OPERATION,Bank Indonesia Regulation Number 22/14/PBI/2022,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_221420.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NO. 22/20/PADG/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS BETWEEN INDONESIA AND JAPAN USING RUPIAH AND YEN THROUGH BANK,Regulation of Member of Board of Governors No. 22/20/PADG/2020,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_222020_en.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NO. 22/20/PADG/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS BETWEEN INDONESIA AND JAPAN USING RUPIAH AND YEN THROUGH BANK,FAQ Regulation of Member of Board of Governors No. 22/20/PADG/2020,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PADG_222020_en.pdf
BANK INDONESIA REGULATION NUMBER 22/12/PBI/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS USING LOCAL CURRENCIES THROUGH BANK,Bank Indonesia Regulation No.22/12/PBI/2020.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_221220.pdf
BANK INDONESIA REGULATION NUMBER 22/12/PBI/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS USING LOCAL CURRENCIES THROUGH BANK,FAQ Bank Indonesia Regulation No.22/12/PBI/2020.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_221220.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 22/14/PADG/2020 ON PROCEDURE FOR LICENSING AND OPERATION OF CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,Regulation Of Board Of Member Of Governors Number 22/14/PADG/2020,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_221420.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 22/14/PADG/2020 ON PROCEDURE FOR LICENSING AND OPERATION OF CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,Regulation Of Board Of Member Of Governors Number 22/14/PADG/2020 - Faq,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PADG_221420.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 22/14/PADG/2020 ON PROCEDURE FOR LICENSING AND OPERATION OF CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,Regulation Of Board Of Member Of Governors Number 22/14/PADG/2020 - Attachment,https://www.bi.go.id/en/publikasi/peraturan/Documents/Attachment_PADG_221420.pdf
BANK INDONESIA REGULATION NO. 22/2/PBI/2020 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,PBI_220220_En.pdfBank Indonesia Regulation Number 22/2/PBI/2020,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_220220_En.pdf
BANK INDONESIA REGULATION NO. 22/2/PBI/2020 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,Bank Indonesia Regulation Number 22/2/PBI/2020 - FAQ,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_SP_220320_En.pdf
BANK INDONESIA REGULATION NUMBER 21/14/PBI/2019 ON EXPORT PROCEEDS AND IMPORT PAYMENTS,Bank Indonesia Regulation Number 21/14/PBI/2019.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_211419.pdf
BANK INDONESIA REGULATION NUMBER 21/14/PBI/2019 ON EXPORT PROCEEDS AND IMPORT PAYMENTS,Bank Indonesia Regulation Number 21/14/PBI/2019 - FAQ.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_211419.pdf
BANK INDONESIA REGULATION NUMBER 21/11/PBI/2019 ON CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,Bank Indonesia Regulation Number 21/11/PBI/2019,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_211119-EN.pdf
BANK INDONESIA REGULATION NUMBER 21/11/PBI/2019 ON CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,Bank Indonesia Regulation Number 21/11/PBI/2019 - FAQ,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ-PBI-211119_en.pdf
BANK INDONESIA REGULATION NUMBER 21/9/PBI/2019 ON INTEGRATED COMMERCIAL BANK REPORTING,Bank Indonesia Regulation Number 21/9/PBI/2019,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_210919.pdf
REGULATION OF BOARD OF MEMBER OF GOVERNORS NUMBER 21/18/PADG/2019 ON IMPLEMENTATION OF NATIONAL STANDARD ON QUICK RESPONSE CODE FOR PAYMENT,Regulation Of Board Of Member Of Governors Number 21/18/PADG/2019,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_211819.pdf
BANK INDONESIA REGULATION NUMBER 21/7/PBI/2019 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 CONCERNING DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,Bank Indonesia Regulation Number 21/7/PBI/2019.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_210719_English.pdf
BANK INDONESIA REGULATION NUMBER 21/6/PBI/2019 ON THE THIRD AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,Bank Indonesia Regulation Number 21/6/PBI/2019,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI-210619.pdf
BANK INDONESIA REGULATION NUMBER 21/5/PBI/2019 ON MARKET OPERATORS IN THE MONEY MARKET AND FOREIGN EXCHANGE MARKET,Bank Indonesia Regulation Number 21/5/PBI/2019,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_210519_En.pdf
BANK INDONESIA REGULATION NUMBER 21/1/PBI/2019 ON BANK’S EXTERNAL DEBTS AND OTHER LIABILITIES IN FOREIGN CURRENCY,Bank Indonesia Regulation Number 21/1/PBI/2019,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_210119_EN.pdf
BANK INDONESIA REGULATION NUMBER 21/1/PBI/2019 ON BANK’S EXTERNAL DEBTS AND OTHER LIABILITIES IN FOREIGN CURRENCY,Bank Indonesia Regulation Number 21/1/PBI/2019 - FAQ,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_210119.pdf
BANK INDONESIA REGULATION NUMBER 20/14/PBI/2018 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,Bank Indonesia Regulation Number 20/14/PBI/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_201418.pdf
BANK INDONESIA REGULATION NUMBER 20/13/PBI/2018 ON RUPIAH INTEREST RATE DERIVATIVE TRANSACTIONS,Bank Indonesia Regulation Number 20/13/PBI/2018.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_201318-EN.pdf
BANK INDONESIA REGULATION NUMBER 20/13/PBI/2018 ON RUPIAH INTEREST RATE DERIVATIVE TRANSACTIONS,FAQ Bank Indonesia Regulation Number 20/13/PBI/2018.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_201318-EN.pdf
"REGULATION OF BANK INDONESIA NUMBER 20/11/PBI/2018 OF 2018 ON THE THIRD AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 17/18/PBI/2015 ON THE ORGANIZATION OF TRANSACTIONS, ADMINISTRATION OF SECURITIES, AND REAL-TIME FUND SETTLEMENT",Regulation of Bank Indonesia Number 20/11/PBI/2018.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_201118_EN.pdf
BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 CONCERNING DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,Bank Indonesia Regulation Number 20/10/PBI/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_201018.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Regulation Of Member Of Board Of Governors Number 20/18/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG-201818.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Attachment,https://www.bi.go.id/en/publikasi/peraturan/Documents/Attachment_PADG_201818.zip
REGULATION OF BANK INDONESIA NUMBER 20/09/PBI/2018 ON SHARIA CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,Bank Indonesia Regulation Number 20/09/PBI/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_200918-EN.pdf
REGULATION OF BANK INDONESIA NUMBER 20/09/PBI/2018 ON SHARIA CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,Bank Indonesia Regulation Number 20/09/PBI/2018 - FAQ,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ-PBI_200918-EN.pdf
BANK INDONESIA REGULATION NUMBER 20/12/PBI/2018 ON AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,Bank Indonesia Regulation Number 20/12/PBI/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI-201218.pdf
BANK INDONESIA REGULATION NUMBER 20/6/PBI/2018 ON ELECTRONIC MONEY,Regulation of Bank Indonesia No. 20/06/PBI/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_200618_en.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/9/PADG/2018 ON STANDING FACILITIES,Regulation Of Members Of Board Of Governors Number 20/9/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200918.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/9/PADG/2018 ON STANDING FACILITIES,Attachment - Regulation Of Members Of Board Of Governors Number 20/9/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200918-Appendix.zip
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/8/PADG/2018 ON CRITERIA AND REQUIREMENTS FOR SECURITIES IN MONETARY OPERATION,Regulation Of Members Of Board Of Governors Number 20/8/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200818.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/7/PADG/2018 ON MONETARY OPERATION PARTICIPATION,Regulation Of Members Of Board Of Governors Number 20/7/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200718.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/7/PADG/2018 ON MONETARY OPERATION PARTICIPATION,Attachment - Regulation Of Members Of Board Of Governors Number 20/7/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200718_Appendix.zip
REGULATION OF BANK INDONESIA NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,Bank Indonesia Regulation Number 20/5/PBI/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_200519.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/6/PADG/2018 ON IMPLEMENTATION OF OPEN MARKET OPERATION,Regulation Of Members Of Board Of Governors Number 20/6/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200618.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/6/PADG/2018 ON IMPLEMENTATION OF OPEN MARKET OPERATION,Attachment - Regulation Of Members Of Board Of Governors Number 20/6/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_20062018_Appendix.zip
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/5/PADG/2018 ON INSTRUMENTS IN OPEN MARKET OPERATION,Regulation Of Members Of Board Of Governors Number 20/5/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_200519.pdf
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/5/PADG/2018 ON INSTRUMENTS IN OPEN MARKET OPERATION,Attachment - Regulation Of Members Of Board Of Governors Number 20/5/PADG/2018,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_20518-Appendix.zip
BANK INDONESIA REGULATION NUMBER 20/2/PBI/2018 CONCERNING AN AMENDMENT TO BANK INDONESIA REGULATION NUMBER 19/7/PBI/2017 CONCERNING CARRYING FOREIGN BANKNOTES INTO AND OUT OF THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA,Bank Indonesia Regulation Number 20/2/PBI/2018.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_200218.pdf
BANK INDONESIA REGULATION NUMBER 19/12/PBI/2017 ON THE IMPLEMENTATION OF FINANCIAL TECHNOLOGY,Bank Indonesia Regulation Number 19/12/PBI/2017,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_191217.pdf
BANK INDONESIA REGULATION NUMBER 19/12/PBI/2017 ON THE IMPLEMENTATION OF FINANCIAL TECHNOLOGY,FAQ Bank Indonesia Regulation Number 19/12/PBI/2017,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_191217.pdf
REGULATION OF BANK INDONESIA NO. 19/8/PBI/2017 ON NATIONAL PAYMENT GATEWAY,Regulation of Bank Indonesia No. 19/8/PBI/2017.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/pbi_190817.pdf
REGULATION OF BANK INDONESIA NO. 19/8/PBI/2017 ON NATIONAL PAYMENT GATEWAY,FAQ - Regulation of Bank Indonesia No. 19/8/PBI/2017.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_190817.pdf
BANK INDONESIA REGULATION NUMBER 19/10/PBI/2017 CONCERNING IMPLEMENTATION OF ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING FOR NON-BANK PAYMENT SYSTEM SERVICE PROVIDER AND NON-BANK MONEY CHANGING SERVICE PROVIDER,Bank Indonesia Regulation Number 19/10/PBI/2017.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/pbi_191017.pdf
BANK INDONESIA REGULATION NUMBER 19/7/PBI/2017 CONCERNING CARRYING FOREIGN BANKNOTES INTO AND OUT OF THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA,Regulation of Bank Indonesia Number 19/7/PBI/2017.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_190717.pdf
BANK INDONESIA REGULATION NUMBER 19/2/PBI/2017 ON NEGOTIABLE CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,Bank Indonesia Regulation Number 19/2/PBI/2017.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_190217-EN.pdf
BANK INDONESIA REGULATION NUMBER 19/2/PBI/2017 ON NEGOTIABLE CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,FAQ Bank Indonesia Regulation Number 19/2/PBI/2017.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_190217-EN.pdf
CIRCULAR LETTER OF BANK INDONESIA NO. 18/42/DKSP ON NON-BANK FOREIGN EXCHANGE BUSINESS ACTIVITIES,Circular Letter of Bank Indonesia No. 18/42/DKSP.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/SE_184216.pdf
CIRCULAR LETTER OF BANK INDONESIA NO. 18/42/DKSP ON NON-BANK FOREIGN EXCHANGE BUSINESS ACTIVITIES,FAQ Circular Letter of Bank Indonesia No. 18/42/DKSP.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_SE_184216.pdf
REGULATION OF BANK INDONESIA NUMBER 18/20/PBI/2016 ON BUSINESS ACTIVITIES OF NON-BANK FOREIGN EXCHANGE,Regulation of Bank Indonesia Number 18/20/PBI/2016.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/pbi_182016_EN.pdf
REGULATION OF BANK INDONESIA NUMBER 18/20/PBI/2016 ON BUSINESS ACTIVITIES OF NON-BANK FOREIGN EXCHANGE,FAQ Regulation of Bank Indonesia Number 18/20/PBI/2016.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_pbi_182016_EN.pdf
BANK INDONESIA REGULATION NUMBER 18/19/PBI/2016 ON FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANK AND FOREIGN PARTY,Bank Indonesia Regulation Number 18/19/PBI/2016.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_181916-EN.pdf
BANK INDONESIA REGULATION NUMBER 18/19/PBI/2016 ON FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANK AND FOREIGN PARTY,FAQ Bank Indonesia Regulation Number 18/19/PBI/2016.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/FAQ_PBI_181916-EN.pdf
"REGULATION OF BANK INDONESIANUMBER 18/6/PBI/2016 OF 2016 ON THE AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 17/18/PBI/2015 ON THE OPERATION OF TRANSACTIONS, ADMINISTRATION OF SECURITIES, AND REAL-TIME FUND SETTLEMENT",Regulation of Bank IndonesiaNumber 18/6/PBI/2016.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_180616_EN.pdf
CIRCULAR LETTER NO. 18/6/DKEM CONCERNING SECOND AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NUMBER 16/24/DKEM DATED 30 DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,Circular Letter No. 18/6/DKEM,https://www.bi.go.id/en/publikasi/peraturan/Documents/SE_180616_EN_DKEM.PDF
BANK INDONESIA REGULATION NUMBER 18/4/PBI/2016 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 16/21/PBI/2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,Bank Indonesia Regulation Number 18/4/PBI/2016,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_180416_EN_DKEM.PDF
BANK INDONESIA CIRCULAR LETTER NO. 17/37/DPM TO ALL COMMERCIAL BANKS AND INTERMEDIARY AGENCIES CONCERNING OPEN MARKET OPERATIONS,Bank Indonesia Circular Letter No. 17/37/DPM,https://www.bi.go.id/en/publikasi/peraturan/Documents/SE_173715.pdf
BANK INDONESIA CIRCULAR LETTER NO. 17/37/DPM TO ALL COMMERCIAL BANKS AND INTERMEDIARY AGENCIES CONCERNING OPEN MARKET OPERATIONS,Attachment Bank Indonesia Circular Letter No. 17/37/DPM.zip,https://www.bi.go.id/en/publikasi/peraturan/Documents/Attachment_SEBI173715.zip
BANK INDONESIA CIRCULAR LETTER NO. 17/36/DPM CONCERNING IMPLEMENTATION OF BANK INDONESIA - ELECTRONIC TRADING PLATFORM SYSTEM,Bank Indonesia Circular Letter No. 17/36/DPM,https://www.bi.go.id/en/publikasi/peraturan/Documents/SE_173615.pdf
BANK INDONESIA CIRCULAR LETTER NO. 17/36/DPM CONCERNING IMPLEMENTATION OF BANK INDONESIA - ELECTRONIC TRADING PLATFORM SYSTEM,Attachment Bank Indonesia Circular Letter No. 17/36/DPM.zip,https://www.bi.go.id/en/publikasi/peraturan/Documents/Lampiran_SEBI173615.zip
BANK INDONESIA CIRCULAR LETTER NO. 17/39/DPM CONCERNING STANDING FACILITIES,Bank Indonesia Circular Letter No. 17/39/DPM,https://www.bi.go.id/en/publikasi/peraturan/Documents/SE_173915.pdf
