title,link
BANK INDONESIA REGULATION NUMBER 22/12/PBI/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS USING LOCAL CURRENCIES THROUGH BANK,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_221220.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 22/14/PADG/2020 ON PROCEDURE FOR LICENSING AND OPERATION OF CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_221420.aspx
BANK INDONESIA REGULATION NO. 22/2/PBI/2020 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_220220.aspx
BANK INDONESIA REGULATION NUMBER 21/14/PBI/2019 ON EXPORT PROCEEDS AND IMPORT PAYMENTS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_211419.aspx
BANK INDONESIA REGULATION NUMBER 21/11/PBI/2019 ON CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_211119.aspx
BANK INDONESIA REGULATION NUMBER 21/9/PBI/2019 ON INTEGRATED COMMERCIAL BANK REPORTING,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_210919.aspx
REGULATION OF BOARD OF MEMBER OF GOVERNORS NUMBER 21/18/PADG/2019 ON IMPLEMENTATION OF NATIONAL STANDARD ON QUICK RESPONSE CODE FOR PAYMENT,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_211819.aspx
BANK INDONESIA REGULATION NUMBER 21/7/PBI/2019 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 CONCERNING DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_210719.aspx
BANK INDONESIA REGULATION NUMBER 21/6/PBI/2019 ON THE THIRD AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_210619.aspx
BANK INDONESIA REGULATION NUMBER 21/5/PBI/2019 ON MARKET OPERATORS IN THE MONEY MARKET AND FOREIGN EXCHANGE MARKET,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_210519.aspx
BANK INDONESIA REGULATION NUMBER 21/1/PBI/2019 ON BANK’S EXTERNAL DEBTS AND OTHER LIABILITIES IN FOREIGN CURRENCY,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_210119.aspx
BANK INDONESIA REGULATION NUMBER 20/14/PBI/2018 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_201418.aspx
BANK INDONESIA REGULATION NUMBER 20/13/PBI/2018 ON RUPIAH INTEREST RATE DERIVATIVE TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_201318.aspx
"REGULATION OF BANK INDONESIA NUMBER 20/11/PBI/2018 OF 2018 ON THE THIRD AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 17/18/PBI/2015 ON THE ORGANIZATION OF TRANSACTIONS, ADMINISTRATION OF SECURITIES, AND REAL-TIME FUND SETTLEMENT",https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_201118.aspx
BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 CONCERNING DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_201018.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_201818.aspx
REGULATION OF BANK INDONESIA NUMBER 20/09/PBI/2018 ON SHARIA CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_200918.aspx
BANK INDONESIA REGULATION NUMBER 20/12/PBI/2018 ON AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_201218.aspx
BANK INDONESIA REGULATION NUMBER 20/6/PBI/2018 ON ELECTRONIC MONEY,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI-200618.aspx
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/9/PADG/2018 ON STANDING FACILITIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_200918.aspx
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/8/PADG/2018 ON CRITERIA AND REQUIREMENTS FOR SECURITIES IN MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_200819.aspx
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/7/PADG/2018 ON MONETARY OPERATION PARTICIPATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_200719.aspx
REGULATION OF BANK INDONESIA NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_200518.aspx
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/6/PADG/2018 ON IMPLEMENTATION OF OPEN MARKET OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_200618.aspx
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/5/PADG/2018 ON INSTRUMENTS IN OPEN MARKET OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_200518.aspx
BANK INDONESIA REGULATION NUMBER 20/2/PBI/2018 CONCERNING AN AMENDMENT TO BANK INDONESIA REGULATION NUMBER 19/7/PBI/2017 CONCERNING CARRYING FOREIGN BANKNOTES INTO AND OUT OF THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_200218.aspx
BANK INDONESIA REGULATION NUMBER 19/12/PBI/2017 ON THE IMPLEMENTATION OF FINANCIAL TECHNOLOGY,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_191217.aspx
REGULATION OF BANK INDONESIA NO. 19/8/PBI/2017 ON NATIONAL PAYMENT GATEWAY,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_190817.aspx
BANK INDONESIA REGULATION NUMBER 19/10/PBI/2017 CONCERNING IMPLEMENTATION OF ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING FOR NON-BANK PAYMENT SYSTEM SERVICE PROVIDER AND NON-BANK MONEY CHANGING SERVICE PROVIDER,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_191017.aspx
BANK INDONESIA REGULATION NUMBER 19/7/PBI/2017 CONCERNING CARRYING FOREIGN BANKNOTES INTO AND OUT OF THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_19717.aspx
BANK INDONESIA REGULATION NUMBER 19/2/PBI/2017 ON NEGOTIABLE CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_19217.aspx
CIRCULAR LETTER OF BANK INDONESIA NO. 18/42/DKSP ON NON-BANK FOREIGN EXCHANGE BUSINESS ACTIVITIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_184216.aspx
REGULATION OF BANK INDONESIA NUMBER 18/20/PBI/2016 ON BUSINESS ACTIVITIES OF NON-BANK FOREIGN EXCHANGE,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_182016.aspx
BANK INDONESIA REGULATION NUMBER 18/19/PBI/2016 ON FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANK AND FOREIGN PARTY,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_181916.aspx
"REGULATION OF BANK INDONESIANUMBER 18/6/PBI/2016 OF 2016 ON THE AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 17/18/PBI/2015 ON THE OPERATION OF TRANSACTIONS, ADMINISTRATION OF SECURITIES, AND REAL-TIME FUND SETTLEMENT",https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_180616.aspx
CIRCULAR LETTER NO. 18/6/DKEM CONCERNING SECOND AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NUMBER 16/24/DKEM DATED 30 DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_180616.aspx
BANK INDONESIA REGULATION NUMBER 18/4/PBI/2016 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 16/21/PBI/2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_180416.aspx
BANK INDONESIA CIRCULAR LETTER NO. 17/37/DPM TO ALL COMMERCIAL BANKS AND INTERMEDIARY AGENCIES CONCERNING OPEN MARKET OPERATIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_173715.aspx
BANK INDONESIA CIRCULAR LETTER NO. 17/36/DPM CONCERNING IMPLEMENTATION OF BANK INDONESIA - ELECTRONIC TRADING PLATFORM SYSTEM,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_173615.aspx
BANK INDONESIA CIRCULAR LETTER NO. 17/39/DPM CONCERNING STANDING FACILITIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_173915.aspx
"BANK INDONESIA CIRCULAR LETTER NO. 17/38/DPM CONCERNING CRITERIA AND REQUIREMENTS FOR SECURITIES, PARTICIPANTS, AND INTERMEDIARY AGENCIES IN MONETARY OPERATIONS",https://www.bi.go.id/en/publikasi/peraturan/Pages/se_173815.aspx
BANK INDONESIA CICULAR NO. 17/33/DPSP DATED 13 NOVEMBER 2015 CONCERNING PROCEDURE FOR THE USAGE OF INTRADAY LIQUIDITY FACILITY,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_173315.aspx
BANK INDONESIA CICULAR NO. 17/31/DPSP DATED 13 NOVEMBER 2015 CONCERNING OPERATION OF SECURITIES ADMINISTRATION THROUGH BANK INDONESIA-SCRIPLESS SECURITIES SETTLEMENT SYSTEM,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_173115.aspx
BANK INDONESIA CICULAR NO. 17/30/DPSP DATED 13 NOVEMBER 2015 CONCERNING OPERATION OF REAL TIME FUND SETTLEMENT THROUGH SISTEM BANK INDONESIA-REAL TIME GROSS SETTLEMENT,https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_173015.aspx
"BANK INDONESIA REGULATION NUMBER 17/18/PBI/2015 CONCERNING BANK INDONESIA OPERATED SYSTEMS FOR MANAGEMENT OF TRANSACTIONS, ADMINISTRATIONS OF SECURITIES, AND REALTIME FUND SETTLEMENT",https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_171815.aspx
BANK INDONESIA REGULATION NUMBER 17/20/PBI/2015 CONCERNING THE THIRD AMENDMENT TO BANK INDONESIA REGULATION NUMBER 12/11/PBI/2010 CONCERNING MONETARY OPERATIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_172015.aspx
"CIRCULAR LETTER NO. 17/18/DKEM, 30 JUNE 2015, AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NUMBER 16/24/DKEM DATED 30TH DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION",https://www.bi.go.id/en/publikasi/peraturan/Pages/se_171815.aspx
BANK INDONESIA CICULAR NO. 17/11/DKSP DATED 1 JUNE 2015 CONCERNING MANDATORY USE OF RUPIAH WITHIN THE TERRITORY OF THE REPUBLIC OF INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_171115.aspx
CIRCULAR LETTER NO. 16/24/DKEM CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_162414.aspx
BANK INDONESIA REGULATION NUMBER 16/21/PBI/2014 DATE 29TH DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF THE NON-BANK CORPORATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_162114.aspx
"BANK INDONESIA REGULATION NUMBER 16/20/PBI/2014 DATE 28 OCTOBER 2014, CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF THE NONBANK CORPORATION",https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_162014.aspx
BANK INDONESIA REGULATION NUMBER 16/ 19 /PBI/2014 DATED 17 SEPTEMBER 2014 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NO. 15/17/PBI/2013 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_161914.aspx
BANK INDONESIA REGULATION NO.16/18/PBI/2014 DATED 17 SEPTEMBER 201 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 15/8/PBI/2013 ON HEDGING TRANSACTION TO BANKS,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_161814.aspx
BANK INDONESIA REGULATION NUMBER 16/17/PBI/2014 DATED 17 SEPTEMBER 2014 CONCERNING FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANKS AND FOREIGN PARTIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_161714.aspx
BANK INDONESIA REGULATION NUMBER 16/16/PBI/2014 DATED 17 SEPTEMBER 2014 CONCERNING FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANKS AND DOMESTIC PARTIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_161614.aspx
BANK INDONESIA REGULATION NUMBER 16/12/PBI/2014 CONCERNING SHARIA MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_161214.aspx
BANK INDONESIA REGULATION NUMBER 16/1/PBI/2014 DATE 21 JANUARY 2014 CONCERNING CONSUMER PROTECTION IN PAYMENT SYSTEM SERVICE,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_160115.aspx
BANK INDONESIA REGULATIOAN NO. 15/16/PBI/2013 ON RESERVE REQUIREMENT IN RUPIAH AND FOREIGN CURRENCIES FOR SHARIA BANKS AND SHARIA BUSINESS UNITS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_151613.aspx
BANK INDONESIA REGULATION NO. 15/15/PBI/2013 ON RESERVE REQUIREMENT IN RUPIAH AND FOREIGN CURRENCIES FOR CONVENTIONAL COMMERCIAL BANKS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_151513.aspx
CIRCULAR LETTER NO. 15/49/DPKL CONCERNING LEMBAGA PENGELOLA INFORMASI PERKREDITAN (CREDIT BUREAU),https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_154913.aspx
BANK INDONESIA REGULATION NO.14/15/PBI/2012 - CONCERNING ASSESSMENT OF COMMERCIAL BANK ASSET QUALITY,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-17.aspx
BANK INDONESIA REGULATION NO.12/21/PBI/2011 - CONCERNING BANK BUSINESS PLAN,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-12.aspx
BANK INDONESIA REGULATION NO.14/14/PBI/2012 - CONCERNING BANK REPORT TRANSPARENCY AND PUBLICATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-16.aspx
CIRCULAR NO. 15/41/DKMP CONCERNING CALCULATION OF SECONDARY RESERVE REQUIREMENTS AND RESERVE REQUIREMENTS BY LOAN TO DEPOSIT RATIO IN RUPIAH,https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_154113.aspx
BANK INDONESIA REGULATION NO. 15/7/PBI/2013 ON THE SECOND AMENDMENT TP BANK INDONESIA REGULATION NO. 12/19/PBI/2010 ON RESERVE REQUIREMENT OF COMMERCIAL BANKS WITH BANK INDONESIA IN RUPIAH AND FOREIGN CURRENCIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_150713.aspx
"CIRCULAR NO. 15/40/DKMP CONCERNING RISK MANAGEMENT APPLICATION TO BANKS PROVIDING CREDIT EXTENSION OR PROPERTY OWNERSHIP FINANCING, CONSUMPTION CREDIT OR FINANCING WITH COLLATERALIZED PROPERTY, AND MOTORIZED VEHICLE CREDIT OR FINANCING",https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_154013.aspx
CIRCULAR LETTER NO. 15/33/DPM CONCERNING THE THIRD AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NO. 10/42/DPD ON PURCHASE OF FOREIGN CURRENCIES AGAINST RUPIAH TO BANKS,https://www.bi.go.id/en/publikasi/peraturan/Pages/se_153313.aspx
CIRCULAR LETTER OF BANK INDONESIA NO. 15/32/DPM CONCERNING THE SIXTH AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NO. 12/18/DPM DATED 7 JULY 2010 REGARDING OPEN MARKET OPERATIONS (OPT),https://www.bi.go.id/en/publikasi/peraturan/Pages/se_153213.aspx
"EXTERNAL CIRCULAR NUMBER 15/30/DPM ON AMENDMENT TO CIRCULAR OF BANK INDONESIA NUMBER 12/16/DPM DATED 6 JULY 2010 ON CRITERIA AND REQUIREMENTS FOR SECURITIES, PARTICIPANTS, AND INTERMEDIARIES IN MONETARY OPERATIONS",https://www.bi.go.id/en/publikasi/peraturan/Pages/se_153013.aspx
BANK INDONESIA REGULATION NO.15/5/PBI/2013 CONCERNING THE SECOND AMENDMENT OF BANK INDONESIA REGULATION NUMBER 12/11/PBI/2010 CONCERNING MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_1552013.aspx
CIRCULAR LETTER OF BANK INDONESIA NUMBER 15/23/DASP CONCERNING PROVISION OF FUNDS TRANSFERS,https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_1523DASP_2013.aspx
BANK INDONESIA REGULATION NO.15/1/PBI/2013 CONCERNING CREDIT BUREAU,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI%20No.15_1_PBI_2013.aspx
BANK INDONESIA REGULATION NO.14/27/PBI/2012 - CONCERNING IMPLEMENTATION OF ANTI MONEY LAUNDERING AND COMBATING THE FINANCING OF TERRORISM PROGRAM FOR COMMERCIAL BANK,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-1.aspx
CIRCULAR LETTER OF BANK INDONESIA NUMBER 14/38/DASP CONCERNING STANDARD GUIDELINES FOR IMPLEMENTATION OF THE ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING PROGRAMME FOR NON-BANK PROVIDERS OF PAYMENT SYSTEM SERVICES,https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_14382012_DASP.aspx
CIRCULLAR LETTER NO.14/37/DPNP - MINIMUM CAPITAL REQUIREMENT BASED ON RISK PROFILE AND FULFILLMENT OF CAPITAL EQUIVALENCY MAINTAINED ASSETS (CEMA),https://www.bi.go.id/en/publikasi/peraturan/Pages/SE_18032013.aspx
BANK INDONESIA REGULATION NO.14/18/PBI/2012 - CONCERNING MINIMUM CAPITAL ADEQUACY REQUIREMENT FOR COMMERCIAL BANKS,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-3.aspx
"BANK INDONESIA REGULATION NO. 14/17/PBI/2012, DATED 23RD NOVEMBER 2012, CONCERNING BANK BUSINESS ACTIVITY IN THE FORM OF TRUST",https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_141712eng.aspx
CIRCULLAR LETTER NO.14/31/DPNP - COMMERCIAL BANK HEAD OFFICE REPORTS,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-2.aspx
BANK INDONESIA REGULATION NO.14/12/PBI/2012 - CONCERNING COMMERCIAL BANK HEAD OFFICE REPORTS,https://www.bi.go.id/en/publikasi/peraturan/Pages/Rabu_20032013-1.aspx
CIRCULLAR LETTER NO.14/21/DPNP - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 9/33/DPNP DATED 18 DECEMBER 2007 CONCERNINGGUIDELINE FOR THE USE OF STANDARD METHOD IN CALCULATION OF COMMERCIAL BANK MINIMUM CAPITAL ADEQUACY REQUIREMENT BY TAKING INTO C,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-33.aspx
"BANK INDONESIA CIRCULAR LETTER NO. 14/18/DPM DATED JUNE 8, 2012 CONCERNING THE FOURTH AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NO. 12/18/DPM DATED JULY 7, 2010 REGARDING OPEN MARKET OPERATION",https://www.bi.go.id/en/publikasi/peraturan/Pages/se_141812_en.aspx
"BANK INDONESIA REGULATION NO. 14/5/PBI/2012 DATED JUNE 8, 2012 CONCERNING THE AMENDMENT TO BANK INDONESIA REGULATION NO. 12/11/PBI/2010 CONCERNING MONETARY OPERATIONS",https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_140512_en.aspx
BANK INDONESIA REGULATION NUMBER 14/3/PBI/2012 CONCERNING THE ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING PROGRAMME FOR NON-BANK PROVIDERS OF PAYMENT SYSTEM SERVICES,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_1432012.aspx
CIRCULLAR LETTER NO.14/10/DPNP - THE IMPLEMENTATION OF RISK MANAGEMENT AT BANKS THAT LEND HOUSING LOAN AND AUTO LOAN,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-32.aspx
CIRCULLAR LETTER NO.14/8/DPNP - SECOND AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 8/15/DPNP DATED 12 JULY 2006 CONCERNING COMMERCIAL BANK PERIODIC REPORTS.,https://www.bi.go.id/en/publikasi/peraturan/Pages/Selasa_19032013-31.aspx
BANK INDONESIA REGULATION NUMBER 14/2/PBI/2012 ON AMENDMENT TO BANK INDONESIA REGULATION NUMBER 11/11/PBI/2009 ON IMPLEMENTATION OF CARD - BASED PAYMENT INSTRUMENT ACTIVITIES,https://www.bi.go.id/en/publikasi/peraturan/Pages/pbi_140212.aspx
